Sector,Pressure,Ecological Characteristic,Overlap,Frequency,DoI,Resilience,Persistence
Aggregates,Sealing,Littoral rock & reef,NO,,,,
Aggregates,Sealing,Littoral sediment,NO,,,,
Aggregates,Sealing,Mangroves,NO,,,,
Aggregates,Sealing,Saltmarshes,NO,,,,
Aggregates,Sealing,Shallow rock & reef,NO,,,,
Aggregates,Sealing,Shallow sediment,NO,,,,
Aggregates,Sealing,Shelf rock & reef,NO,,,,
Aggregates,Sealing,Shelf sediment,NO,,,,
Aggregates,Sealing, Slope rock & reef,NO,,,,
Aggregates,Sealing,Slope sediment,NO,,,,
Aggregates,Sealing,Deep Sea rock & reef,NO,,,,
Aggregates,Sealing,Deep Sea Sediment,NO,,,,
Aggregates,Sealing,Coastal Pelagic,NO,,,,
Aggregates,Sealing, Shelf Pelagic,NO,,,,
Aggregates,Sealing,Oceanic Pelagic,NO,,,,
Aggregates,Sealing,Marine Mammals,NO,,,,
Aggregates,Sealing,Pelagic Fish,NO,,,,
Aggregates,Sealing,Demersal Fish,NO,,,,
Aggregates,Sealing,Deep-sea Fish,NO,,,,
Aggregates,Sealing,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Sealing,Pelagic Elasmobranchs,NO,,,,
Aggregates,Sealing,Demersal Elasmobranchs,NO,,,,
Aggregates,Sealing,Reptiles,NO,,,,
Aggregates,Sealing,Marine birds,NO,,,,
Aggregates,Sealing,Cephalopods,NO,,,,
Aggregates,Changes in siltation/ Smothering,Littoral rock & reef,NO,,,,
Aggregates,Changes in siltation/ Smothering,Littoral sediment,S,P,C,,
Aggregates,Changes in siltation/ Smothering,Mangroves,NO,,,,
Aggregates,Changes in siltation/ Smothering,Saltmarshes,NO,,,,
Aggregates,Changes in siltation/ Smothering,Shallow rock & reef,NO,,,,
Aggregates,Changes in siltation/ Smothering,Shallow sediment,L,P,C,,
Aggregates,Changes in siltation/ Smothering,Shelf rock & reef,NO,,,,
Aggregates,Changes in siltation/ Smothering,Shelf sediment,L,P,C,,
Aggregates,Changes in siltation/ Smothering,Slope rock & reef,NO,,,,
Aggregates,Changes in siltation/ Smothering,Slope sediment,NO,,,,
Aggregates,Changes in siltation/ Smothering,Deep Sea rock & reef,NO,,,,
Aggregates,Changes in siltation/ Smothering,Deep Sea Sediment,NO,,,,
Aggregates,Changes in siltation/ Smothering,Coastal Pelagic,S,P,L,,
Aggregates,Changes in siltation/ Smothering,Shelf Pelagic,S,P,L,,
Aggregates,Changes in siltation/ Smothering,Oceanic Pelagic,NO,,,,
Aggregates,Changes in siltation/ Smothering,Marine Mammals,S,P,L,,
Aggregates,Changes in siltation/ Smothering,Pelagic Fish,S,P,L,,
Aggregates,Changes in siltation/ Smothering,Demersal Fish,L,P,C,,
Aggregates,Changes in siltation/ Smothering,Deep-sea Fish,NO,,,,
Aggregates,Changes in siltation/ Smothering,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Changes in siltation/ Smothering,Pelagic Elasmobranchs,S,P,L,,
Aggregates,Changes in siltation/ Smothering,Demersal Elasmobranchs,L,P,C,,
Aggregates,Changes in siltation/ Smothering,Reptiles,S,P,L,,
Aggregates,Changes in siltation/ Smothering,Marine birds,NO,,,,
Aggregates,Changes in siltation/ Smothering,Cephalopods,S,P,C,,
Aggregates,Abrasion,Littoral rock & reef,NO,,,,
Aggregates,Abrasion,Littoral sediment,S,P,C,,
Aggregates,Abrasion,Mangroves,NO,,,,
Aggregates,Abrasion,Saltmarshes,NO,,,,
Aggregates,Abrasion,Shallow rock & reef,NO,,,,
Aggregates,Abrasion,Shallow sediment,S,P,C,,
Aggregates,Abrasion,Shelf rock & reef,NO,,,,
Aggregates,Abrasion,Shelf sediment,S,P,C,,
Aggregates,Abrasion,Slope rock & reef,NO,,,,
Aggregates,Abrasion,Slope sediment,NO,,,,
Aggregates,Abrasion,Deep Sea rock & reef,NO,,,,
Aggregates,Abrasion,Deep Sea Sediment,NO,,,,
Aggregates,Abrasion,Coastal Pelagic,S,P,L,,
Aggregates,Abrasion,Shelf Pelagic,S,P,L,,
Aggregates,Abrasion,Oceanic Pelagic,NO,,,,
Aggregates,Abrasion,Marine Mammals,S,P,L,,
Aggregates,Abrasion,Pelagic Fish,S,P,L,,
Aggregates,Abrasion,Demersal Fish,S,P,C,,
Aggregates,Abrasion,Deep-sea Fish,NO,,,,
Aggregates,Abrasion,Deep-sea Elasmobranchs,NO,,,,
Aggregates,Abrasion,Pelagic Elasmobranchs,S,P,L,,
Aggregates,Abrasion,Demersal Elasmobranchs,S,P,C,,
Aggregates,Abrasion,Reptiles,S,P,L,,
Aggregates,Abrasion,Marine birds,NO,,,,
Aggregates,Abrasion,Cephalopods,S,P,C,,
Aggregates,Non-living Resources,Littoral rock & reef,NO,,,,
Aggregates,Non-living Resources,Littoral sediment,S,P,L,,
Aggregates,Non-living Resources,Mangroves,NO,,,,
Aggregates,Non-living Resources,Saltmarshes,NO,,,,
Aggregates,Non-living Resources,Shallow rock & reef,NO,,,,
Aggregates,Non-living Resources,Shallow sediment,S,P,C,,
Aggregates,Non-living Resources,Shelf rock & reef,NO,,,,
Aggregates,Non-living Resources,Shelf sediment,S,P,C,,
Aggregates,Non-living Resources,Slope rock & reef,NO,,,,
Aggregates,Non-living Resources,Slope sediment,NO,,,,
Aggregates,Non-living Resources,Deep Sea rock & reef,NO,,,,
Aggregates,Non-living Resources,Deep Sea Sediment,NO,,,,
Aggregates,Non-living Resources,Coastal Pelagic,S,P,C,,
Aggregates,Non-living Resources,Shelf Pelagic,S,P,C,,
Aggregates,Non-living Resources,Oceanic Pelagic,NO,,,,
Aggregates,Non-living Resources,Marine Mammals,S,P,C,,
Aggregates,Non-living Resources,Pelagic Fish,S,P,C,,
Aggregates,Non-living Resources,Demersal Fish,S,P,C,,
Aggregates,Non-living Resources,Deep-sea Fish,NO,,,,
