idsec,Sector,idpressure,Pressure,ideco,Ecological Characteristic,Overlap,Frequency,DoI
1,Aggregates,1,Sealing,1,Littoral rock & reef,NO,,
1,Aggregates,1,Sealing,2,Littoral sediment,NO,,
1,Aggregates,1,Sealing,3,Mangroves,NO,,
1,Aggregates,1,Sealing,4,Saltmarshes,NO,,
1,Aggregates,1,Sealing,5,Shallow rock & reef,NO,,
1,Aggregates,1,Sealing,6,Shallow sediment,NO,,
1,Aggregates,1,Sealing,7,Shelf rock & reef,NO,,
1,Aggregates,1,Sealing,8,Shelf sediment,NO,,
1,Aggregates,1,Sealing,9, Slope rock & reef,NO,,
1,Aggregates,1,Sealing,10,Slope sediment,NO,,
1,Aggregates,1,Sealing,11,Deep Sea rock & reef,NO,,
1,Aggregates,1,Sealing,12,Deep Sea Sediment,NO,,
1,Aggregates,1,Sealing,13,Coastal Pelagic,NO,,
1,Aggregates,1,Sealing,14, Shelf Pelagic,NO,,
1,Aggregates,1,Sealing,15,Oceanic Pelagic,NO,,
1,Aggregates,1,Sealing,16,Marine Mammals,NO,,
1,Aggregates,1,Sealing,17,Pelagic Fish,NO,,
1,Aggregates,1,Sealing,18,Demersal Fish,NO,,
1,Aggregates,1,Sealing,19,Deep-sea Fish,NO,,
1,Aggregates,1,Sealing,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,1,Sealing,21,Pelagic Elasmobranchs,NO,,
1,Aggregates,1,Sealing,22,Demersal Elasmobranchs,NO,,
1,Aggregates,1,Sealing,23,Reptiles,NO,,
1,Aggregates,1,Sealing,24,Marine birds,NO,,
1,Aggregates,1,Sealing,25,Cephalopods,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,1,Littoral rock & reef,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,2,Littoral sediment,S,P,C
1,Aggregates,2,Changes in siltation/ Smothering,3,Mangroves,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,4,Saltmarshes,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,5,Shallow rock & reef,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,6,Shallow sediment,L,P,C
1,Aggregates,2,Changes in siltation/ Smothering,7,Shelf rock & reef,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,8,Shelf sediment,L,P,C
1,Aggregates,2,Changes in siltation/ Smothering,9,Slope rock & reef,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,10,Slope sediment,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,11,Deep Sea rock & reef,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,12,Deep Sea Sediment,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,13,Coastal Pelagic,S,P,L
1,Aggregates,2,Changes in siltation/ Smothering,14,Shelf Pelagic,S,P,L
1,Aggregates,2,Changes in siltation/ Smothering,15,Oceanic Pelagic,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,16,Marine Mammals,S,P,L
1,Aggregates,2,Changes in siltation/ Smothering,17,Pelagic Fish,S,P,L
1,Aggregates,2,Changes in siltation/ Smothering,18,Demersal Fish,L,P,C
1,Aggregates,2,Changes in siltation/ Smothering,19,Deep-sea Fish,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,21,Pelagic Elasmobranchs,S,P,L
1,Aggregates,2,Changes in siltation/ Smothering,22,Demersal Elasmobranchs,L,P,C
1,Aggregates,2,Changes in siltation/ Smothering,23,Reptiles,S,P,L
1,Aggregates,2,Changes in siltation/ Smothering,24,Marine birds,NO,,
1,Aggregates,2,Changes in siltation/ Smothering,25,Cephalopods,S,P,C
1,Aggregates,3,Abrasion,1,Littoral rock & reef,NO,,
1,Aggregates,3,Abrasion,2,Littoral sediment,S,P,C
1,Aggregates,3,Abrasion,3,Mangroves,NO,,
1,Aggregates,3,Abrasion,4,Saltmarshes,NO,,
1,Aggregates,3,Abrasion,5,Shallow rock & reef,NO,,
1,Aggregates,3,Abrasion,6,Shallow sediment,S,P,C
1,Aggregates,3,Abrasion,7,Shelf rock & reef,NO,,
1,Aggregates,3,Abrasion,8,Shelf sediment,S,P,C
1,Aggregates,3,Abrasion,9,Slope rock & reef,NO,,
1,Aggregates,3,Abrasion,10,Slope sediment,NO,,
1,Aggregates,3,Abrasion,11,Deep Sea rock & reef,NO,,
1,Aggregates,3,Abrasion,12,Deep Sea Sediment,NO,,
1,Aggregates,3,Abrasion,13,Coastal Pelagic,S,P,L
1,Aggregates,3,Abrasion,14,Shelf Pelagic,S,P,L
1,Aggregates,3,Abrasion,15,Oceanic Pelagic,NO,,
1,Aggregates,3,Abrasion,16,Marine Mammals,S,P,L
1,Aggregates,3,Abrasion,17,Pelagic Fish,S,P,L
1,Aggregates,3,Abrasion,18,Demersal Fish,S,P,C
1,Aggregates,3,Abrasion,19,Deep-sea Fish,NO,,
1,Aggregates,3,Abrasion,20,Deep-sea Elasmobranchs,NO,,
1,Aggregates,3,Abrasion,21,Pelagic Elasmobranchs,S,P,L
1,Aggregates,3,Abrasion,22,Demersal Elasmobranchs,S,P,C
1,Aggregates,3,Abrasion,23,Reptiles,S,P,L
1,Aggregates,3,Abrasion,24,Marine birds,NO,,
1,Aggregates,3,Abrasion,25,Cephalopods,S,P,C
1,Aggregates,4,Non-living Resources,1,Littoral rock & reef,NO,,
1,Aggregates,4,Non-living Resources,2,Littoral sediment,S,P,L
1,Aggregates,4,Non-living Resources,3,Mangroves,NO,,
1,Aggregates,4,Non-living Resources,4,Saltmarshes,NO,,
1,Aggregates,4,Non-living Resources,5,Shallow rock & reef,NO,,
1,Aggregates,4,Non-living Resources,6,Shallow sediment,S,P,C
1,Aggregates,4,Non-living Resources,7,Shelf rock & reef,NO,,
1,Aggregates,4,Non-living Resources,8,Shelf sediment,S,P,C
1,Aggregates,4,Non-living Resources,9,Slope rock & reef,NO,,
1,Aggregates,4,Non-living Resources,10,Slope sediment,NO,,
1,Aggregates,4,Non-living Resources,11,Deep Sea rock & reef,NO,,
1,Aggregates,4,Non-living Resources,12,Deep Sea Sediment,NO,,
