Sector,Pressure,Ecological Characteristic,Overlap,Frequency,DoI,Reilience,Persistence
Aggregates,Abrasion,Demersal Elasmo,NO,,,,
Aggregates,Abrasion,Pelagic Elasmo,NO,,,,
Aggregates,Abrasion,Deep Sea Elasmo,NO,,,,
Aggregates,Abrasion, Reptiles,NO,,,,
Aggregates,Abrasion,Cephalopods,NO,,,,
Aggregates,Abrasion,Deep Sea Fish,NO,,,,
Aggregates,Abrasion,Demersal Fish,NO,,,,
Aggregates,Abrasion,Pelagic Fish,NO,,,,
Aggregates,Abrasion,Seabirds,NO,,,,
Aggregates,Abrasion,Marine Mammals,NO,,,,
Aggregates,Abrasion,Oceanic Pelagic,NO,,,,
Aggregates,Abrasion,Shelf Pelagic,NO,,,,
Aggregates,Abrasion,Coastal Pelagic,NO,,,,
Aggregates,Abrasion,Deep Sea Sediment,NO,,,,
Aggregates,Abrasion,Deep Sea Rock & Reef,NO,,,,
Aggregates,Abrasion,Slope Sediment,NO,,,,
Aggregates,Abrasion,Slope Rock & Reef,NO,,,,
Aggregates,Abrasion,Shelf Sediment,NO,,,,
Aggregates,Abrasion,Shelf Rock & Reef,NO,,,,
Aggregates,Abrasion,Shallow Sediment,NO,,,,
Aggregates,Abrasion,Shallow Rock & Reef,NO,,,,
Aggregates,Abrasion,Littoral Sediment,NO,,,,
Aggregates,Abrasion,Littoral Rock & Reef,NO,,,,
Aggregates,Abrasion,Saltmarsh,NO,,,,
Aggregates,Abrasion,Mangrove,NO,,,,
Aggregates,Barriers,Demersal Elasmo,NO,,,,
Aggregates,Barriers,Pelagic Elasmo,NO,,,,
Aggregates,Barriers,Deep Sea Elasmo,NO,,,,
Aggregates,Barriers, Reptiles,NO,,,,
Aggregates,Barriers,Cephalopods,NO,,,,
Aggregates,Barriers,Deep Sea Fish,NO,,,,
Aggregates,Barriers,Demersal Fish,NO,,,,
Aggregates,Barriers,Pelagic Fish,NO,,,,
Aggregates,Barriers,Seabirds,NO,,,,
Aggregates,Barriers,Marine Mammals,NO,,,,
Aggregates,Barriers,Oceanic Pelagic,NO,,,,
Aggregates,Barriers,Shelf Pelagic,NO,,,,
Aggregates,Barriers,Coastal Pelagic,NO,,,,
Aggregates,Barriers,Deep Sea Sediment,NO,,,,
Aggregates,Barriers,Deep Sea Rock & Reef,NO,,,,
Aggregates,Barriers,Slope Sediment,NO,,,,
Aggregates,Barriers,Slope Rock & Reef,NO,,,,
Aggregates,Barriers,Shelf Sediment,NO,,,,
Aggregates,Barriers,Shelf Rock & Reef,NO,,,,
Aggregates,Barriers,Shallow Sediment,NO,,,,
Aggregates,Barriers,Shallow Rock & Reef,NO,,,,
Aggregates,Barriers,Littoral Sediment,NO,,,,
Aggregates,Barriers,Littoral Rock & Reef,NO,,,,
Aggregates,Barriers,Saltmarsh,NO,,,,
Aggregates,Barriers,Mangrove,NO,,,,
Aggregates,Bycatch,Demersal Elasmo,NO,,,,
Aggregates,Bycatch,Pelagic Elasmo,NO,,,,
Aggregates,Bycatch,Deep Sea Elasmo,NO,,,,
Aggregates,Bycatch, Reptiles,NO,,,,
Aggregates,Bycatch,Cephalopods,NO,,,,
Aggregates,Bycatch,Deep Sea Fish,NO,,,,
Aggregates,Bycatch,Demersal Fish,NO,,,,
Aggregates,Bycatch,Pelagic Fish,NO,,,,
Aggregates,Bycatch,Seabirds,NO,,,,
Aggregates,Bycatch,Marine Mammals,NO,,,,
Aggregates,Bycatch,Oceanic Pelagic,NO,,,,
Aggregates,Bycatch,Shelf Pelagic,NO,,,,
Aggregates,Bycatch,Coastal Pelagic,NO,,,,
Aggregates,Bycatch,Deep Sea Sediment,NO,,,,
Aggregates,Bycatch,Deep Sea Rock & Reef,NO,,,,
