"","idsec","sector","idpress","pressure","ideco","ecochar","overlap"
"1",1,"Aggregates",1,"Sealing",1,"Littoral rock & reef","NO"
"2",1,"Aggregates",1,"Sealing",2,"Littoral sediment","NO"
"3",1,"Aggregates",1,"Sealing",3,"Mangroves","NO"
"4",1,"Aggregates",1,"Sealing",4,"Saltmarshes","NO"
"5",1,"Aggregates",1,"Sealing",5,"Shallow rock & reef","NO"
"6",1,"Aggregates",1,"Sealing",6,"Shallow sediment","NO"
"7",1,"Aggregates",1,"Sealing",7,"Shelf rock & reef","NO"
"8",1,"Aggregates",1,"Sealing",8,"Shelf sediment","NO"
"9",1,"Aggregates",1,"Sealing",9,"Slope rock & reef","NO"
"10",1,"Aggregates",1,"Sealing",10,"Slope sediment","NO"
"11",1,"Aggregates",1,"Sealing",11,"Deep Sea rock & reef","NO"
"12",1,"Aggregates",1,"Sealing",12,"Deep Sea Sediment","NO"
"13",1,"Aggregates",1,"Sealing",13,"Coastal Pelagic","NO"
"14",1,"Aggregates",1,"Sealing",14,"Shelf Pelagic","NO"
"15",1,"Aggregates",1,"Sealing",15,"Oceanic Pelagic","NO"
"16",1,"Aggregates",1,"Sealing",16,"Marine Mammals","NO"
"17",1,"Aggregates",1,"Sealing",17,"Pelagic Fish","NO"
"18",1,"Aggregates",1,"Sealing",18,"Demersal Fish","NO"
"19",1,"Aggregates",1,"Sealing",19,"Deep-sea Fish","NO"
"20",1,"Aggregates",1,"Sealing",20,"Deep-sea Elasmobranchs","NO"
"21",1,"Aggregates",1,"Sealing",21,"Pelagic Elasmobranchs","NO"
"22",1,"Aggregates",1,"Sealing",22,"Demersal Elasmobranchs","NO"
"23",1,"Aggregates",1,"Sealing",23,"Reptiles","NO"
"24",1,"Aggregates",1,"Sealing",24,"Marine birds","NO"
"25",1,"Aggregates",1,"Sealing",25,"Cephalopods","NO"
"26",1,"Aggregates",2,"Changes in siltation/ Smothering",1,"Littoral rock & reef","NO"
"27",1,"Aggregates",2,"Changes in siltation/ Smothering",2,"Littoral sediment","S"
"28",1,"Aggregates",2,"Changes in siltation/ Smothering",3,"Mangroves","NO"
"29",1,"Aggregates",2,"Changes in siltation/ Smothering",4,"Saltmarshes","NO"
"30",1,"Aggregates",2,"Changes in siltation/ Smothering",5,"Shallow rock & reef","NO"
"31",1,"Aggregates",2,"Changes in siltation/ Smothering",6,"Shallow sediment","S"
"32",1,"Aggregates",2,"Changes in siltation/ Smothering",7,"Shelf rock & reef","NO"
"33",1,"Aggregates",2,"Changes in siltation/ Smothering",8,"Shelf sediment","S"
"34",1,"Aggregates",2,"Changes in siltation/ Smothering",9,"Slope rock & reef","NO"
"35",1,"Aggregates",2,"Changes in siltation/ Smothering",10,"Slope sediment","NO"
"36",1,"Aggregates",2,"Changes in siltation/ Smothering",11,"Deep Sea rock & reef","NO"
"37",1,"Aggregates",2,"Changes in siltation/ Smothering",12,"Deep Sea Sediment","NO"
"38",1,"Aggregates",2,"Changes in siltation/ Smothering",13,"Coastal Pelagic","S"
"39",1,"Aggregates",2,"Changes in siltation/ Smothering",14,"Shelf Pelagic","S"
"40",1,"Aggregates",2,"Changes in siltation/ Smothering",15,"Oceanic Pelagic","NO"
"41",1,"Aggregates",2,"Changes in siltation/ Smothering",16,"Marine Mammals","S"
"42",1,"Aggregates",2,"Changes in siltation/ Smothering",17,"Pelagic Fish","S"
"43",1,"Aggregates",2,"Changes in siltation/ Smothering",18,"Demersal Fish","S"
"44",1,"Aggregates",2,"Changes in siltation/ Smothering",19,"Deep-sea Fish","NO"
"45",1,"Aggregates",2,"Changes in siltation/ Smothering",20,"Deep-sea Elasmobranchs","NO"
"46",1,"Aggregates",2,"Changes in siltation/ Smothering",21,"Pelagic Elasmobranchs","S"
"47",1,"Aggregates",2,"Changes in siltation/ Smothering",22,"Demersal Elasmobranchs","S"
"48",1,"Aggregates",2,"Changes in siltation/ Smothering",23,"Reptiles","S"
"49",1,"Aggregates",2,"Changes in siltation/ Smothering",24,"Marine birds","NO"
"50",1,"Aggregates",2,"Changes in siltation/ Smothering",25,"Cephalopods","S"
"51",1,"Aggregates",3,"Abrasion",1,"Littoral rock & reef","NO"
"52",1,"Aggregates",3,"Abrasion",2,"Littoral sediment","S"
"53",1,"Aggregates",3,"Abrasion",3,"Mangroves","NO"
"54",1,"Aggregates",3,"Abrasion",4,"Saltmarshes","NO"
"55",1,"Aggregates",3,"Abrasion",5,"Shallow rock & reef","NO"
"56",1,"Aggregates",3,"Abrasion",6,"Shallow sediment","S"
"57",1,"Aggregates",3,"Abrasion",7,"Shelf rock & reef","NO"
"58",1,"Aggregates",3,"Abrasion",8,"Shelf sediment","S"
"59",1,"Aggregates",3,"Abrasion",9,"Slope rock & reef","NO"
"60",1,"Aggregates",3,"Abrasion",10,"Slope sediment","NO"
"61",1,"Aggregates",3,"Abrasion",11,"Deep Sea rock & reef","NO"
"62",1,"Aggregates",3,"Abrasion",12,"Deep Sea Sediment","NO"
"63",1,"Aggregates",3,"Abrasion",13,"Coastal Pelagic","S"
"64",1,"Aggregates",3,"Abrasion",14,"Shelf Pelagic","S"
"65",1,"Aggregates",3,"Abrasion",15,"Oceanic Pelagic","NO"
"66",1,"Aggregates",3,"Abrasion",16,"Marine Mammals","S"
"67",1,"Aggregates",3,"Abrasion",17,"Pelagic Fish","S"
"68",1,"Aggregates",3,"Abrasion",18,"Demersal Fish","S"
"69",1,"Aggregates",3,"Abrasion",19,"Deep-sea Fish","NO"
"70",1,"Aggregates",3,"Abrasion",20,"Deep-sea Elasmobranchs","NO"
"71",1,"Aggregates",3,"Abrasion",21,"Pelagic Elasmobranchs","S"
"72",1,"Aggregates",3,"Abrasion",22,"Demersal Elasmobranchs","S"
"73",1,"Aggregates",3,"Abrasion",23,"Reptiles","S"
"74",1,"Aggregates",3,"Abrasion",24,"Marine birds","NO"
"75",1,"Aggregates",3,"Abrasion",25,"Cephalopods","S"
"76",1,"Aggregates",4,"Non-living Resources",1,"Littoral rock & reef","NO"
"77",1,"Aggregates",4,"Non-living Resources",2,"Littoral sediment","S"
"78",1,"Aggregates",4,"Non-living Resources",3,"Mangroves","NO"
"79",1,"Aggregates",4,"Non-living Resources",4,"Saltmarshes","NO"
"80",1,"Aggregates",4,"Non-living Resources",5,"Shallow rock & reef","NO"
"81",1,"Aggregates",4,"Non-living Resources",6,"Shallow sediment","S"
"82",1,"Aggregates",4,"Non-living Resources",7,"Shelf rock & reef","NO"
"83",1,"Aggregates",4,"Non-living Resources",8,"Shelf sediment","S"
"84",1,"Aggregates",4,"Non-living Resources",9,"Slope rock & reef","NO"
"85",1,"Aggregates",4,"Non-living Resources",10,"Slope sediment","NO"
"86",1,"Aggregates",4,"Non-living Resources",11,"Deep Sea rock & reef","NO"
"87",1,"Aggregates",4,"Non-living Resources",12,"Deep Sea Sediment","NO"
"88",1,"Aggregates",4,"Non-living Resources",13,"Coastal Pelagic","S"
"89",1,"Aggregates",4,"Non-living Resources",14,"Shelf Pelagic","S"
"90",1,"Aggregates",4,"Non-living Resources",15,"Oceanic Pelagic","NO"
"91",1,"Aggregates",4,"Non-living Resources",16,"Marine Mammals","S"
"92",1,"Aggregates",4,"Non-living Resources",17,"Pelagic Fish","S"
"93",1,"Aggregates",4,"Non-living Resources",18,"Demersal Fish","S"
"94",1,"Aggregates",4,"Non-living Resources",19,"Deep-sea Fish","NO"
"95",1,"Aggregates",4,"Non-living Resources",20,"Deep-sea Elasmobranchs","NO"
"96",1,"Aggregates",4,"Non-living Resources",21,"Pelagic Elasmobranchs","S"
"97",1,"Aggregates",4,"Non-living Resources",22,"Demersal Elasmobranchs","S"
"98",1,"Aggregates",4,"Non-living Resources",23,"Reptiles","S"
"99",1,"Aggregates",4,"Non-living Resources",24,"Marine birds","NO"
"100",1,"Aggregates",4,"Non-living Resources",25,"Cephalopods","S"
"101",1,"Aggregates",5,"Noise",1,"Littoral rock & reef","NO"
"102",1,"Aggregates",5,"Noise",2,"Littoral sediment","S"
"103",1,"Aggregates",5,"Noise",3,"Mangroves","NO"
"104",1,"Aggregates",5,"Noise",4,"Saltmarshes","NO"
"105",1,"Aggregates",5,"Noise",5,"Shallow rock & reef","NO"
"106",1,"Aggregates",5,"Noise",6,"Shallow sediment","S"
"107",1,"Aggregates",5,"Noise",7,"Shelf rock & reef","NO"
"108",1,"Aggregates",5,"Noise",8,"Shelf sediment","S"
"109",1,"Aggregates",5,"Noise",9,"Slope rock & reef","NO"
"110",1,"Aggregates",5,"Noise",10,"Slope sediment","NO"
"111",1,"Aggregates",5,"Noise",11,"Deep Sea rock & reef","NO"
"112",1,"Aggregates",5,"Noise",12,"Deep Sea Sediment","NO"
"113",1,"Aggregates",5,"Noise",13,"Coastal Pelagic","S"
"114",1,"Aggregates",5,"Noise",14,"Shelf Pelagic","S"
"115",1,"Aggregates",5,"Noise",15,"Oceanic Pelagic","NO"
